as_of_date,csdi_dataset_id,csdi_layer,name_en,name_tc,traffic_csv_category,traffic_match_type,traffic_category_present_on_date,traffic_category_total_both_directions,traffic_category_arrival_total,traffic_category_departure_total,traffic_category_hk_residents_both,traffic_category_mainland_visitors_both,traffic_category_other_visitors_both,longitude,latitude,easting_hk1980,northing_hk1980,address_en,address_tc,opening_hours_en,opening_hours_tc,lastupdate,location_source_url,traffic_source_url,notes
16-07-2026,immd_rcd_1633320081376_19895,CP,China Ferry Terminal Control Point,中國客運碼頭出入境管制站,中国客运码头,direct,true,1254,636,618,542,637,75,114.16730700,22.30045500,835282.1,817946.2,"China Ferry Terminal, 33 Canton Road, Tsim Sha Tsui",尖沙咀廣東道33號中國客運碼頭,7:00 am to midnight,上午7時至午夜12時,2023-01-16 10:09:52,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Kai Tak Cruise Terminal Control Point,啟德郵輪碼頭出入境管制站,启德邮轮码头,direct,true,0,0,0,0,0,0,114.21289200,22.30641500,839979.2352005,818606.51460056,"Kai Tak Cruise Terminal, 33 Shing Fung Road, Kowloon Bay, Kowloon",九龍九龍灣承豐道33號啟德郵輪碼頭,06:00 to 23:00 (subject to the berthing schedule of cruise liner),上午6時至晚上11時 (會視乎郵輪停泊情況而有所更改),2022-02-09 16:13:56,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Man Kam To Control Point,文錦渡出入境管制站,文锦渡,direct,true,5103,2462,2641,4028,1056,19,114.12879200,22.53741700,831321.80567143,844187.11843216,Man Kam To Terminal,新界文錦渡管制站,7:00 am to 10:00 pm,上午7時至晚上10時,2026-06-22 11:35:11,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Airport Control Point (Terminal 1),機場出入境管制站 (一號客運大樓),机场,airport_terminal_category,true,129366,58542,70824,70831,26126,32409,113.93441700,22.31535400,811287.03252876,819616.05671433,"Passenger Terminal Building, Hong Kong International Airport, Chek Lap Kok, Lantau",大嶼山赤鱲角香港國際機場客運大樓,24 hours,全日24小時,2019-02-08 11:46:17,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Daily traffic CSV reports Airport as one aggregate category; do not add Terminal 1 and Terminal 2 rows together.
16-07-2026,immd_rcd_1633320081376_19895,CP,Airport Control Point (Terminal 2),機場出入境管制站 (二號客運大樓),机场,airport_terminal_category,true,129366,58542,70824,70831,26126,32409,113.93824000,22.31648000,811681.09476757,819740.07469168,"Terminal 2, Hong Kong International Airport, Chek Lap Kok, Lantau",大嶼山赤鱲角香港國際機場二號客運大樓,5:15 am to 12:15 am of the next day,上午5時15分至翌日上午12時15分,2026-06-22 11:52:39,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Daily traffic CSV reports Airport as one aggregate category; do not add Terminal 1 and Terminal 2 rows together.
16-07-2026,immd_rcd_1633320081376_19895,CP,Sha Tau Kok Control Point,沙頭角出入境管制站,沙头角,direct,true,0,0,0,0,0,0,114.22329100,22.54912400,841042.4170143,845483.5546285399,Sha Tau Kok Terminal,新界沙頭角管制站,Clearance services have been suspended until further notice.,通關服務現已暫停，直至另行公布。,2024-11-19 11:55:16,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Shenzhen Bay Control Point,深圳灣出入境管制站,深圳湾,direct,true,109452,53691,55761,75882,30429,3141,113.94543300,22.49382200,812452.4022448401,839377.20366397,"Shenzhen Bay Control Point, Shenzhen Bay Port Hong Kong Port Area",深圳灣口岸港方口岸區深圳灣管制站,Passenger Clearance Building and private cars' passenger clearance services:; 6:30 am to midnight; Goods vehicle clearance services:; 24 hours,旅檢大樓及私家車客運通關服務:; 上午6時30分至午夜12時; 貨車通關服務:; 全日24小時,2023-01-09 09:35:44,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Harbour Control,港口管制,港口管制,port_aggregate_category,true,123,58,65,28,3,92,114.15562500,22.28856400,834078.2085071499,816629.5829857,"2/F, Central Government Pier, 32 Man Fai Street, Central",中環民輝街32號中區政府碼頭2字樓,Harbour Control Section and Western Immigration Anchorage: 24 hours; Eastern Immigration Anchorage: 6:00 am to 6:00 pm,港口管制組及西區入境船隻認可碇泊處：全日24小時;東區入境船隻認可碇泊處：早上6時至晚上6時,2019-02-08 12:05:44,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Daily traffic CSV reports Harbour Control as 港口管制; this row is the Central Government Pier control point.
16-07-2026,immd_rcd_1633320081376_19895,CP,River Trade Terminal Control Point,內河碼頭出入境管制站,港口管制,port_related_not_named_in_daily_csv,true,123,58,65,28,3,92,113.94768200,22.36134900,812661.5,824707.2,"205 Lung Mun Road, Area 38, Tuen Mun",屯門第38區龍門路205號,24 hours,全日24小時,2019-02-08 11:48:48,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,"CSDI has this as a separate control point, but the daily passenger CSV has no named River Trade Terminal row on 16-07-2026."
16-07-2026,immd_rcd_1633320081376_19895,CP,Macao Ferry Terminal Control Point,港澳客輪碼頭出入境管制站,港澳客轮码头,direct,true,12794,5963,6831,7010,3187,2597,114.15230300,22.28883900,833735.82985701,816660,"Macao Ferry Terminal, 202 Connaught Road, Central",中環干諾道中202號港澳客輪碼頭,24 hours,全日24小時,2025-12-17 09:44:29,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Hong Kong-Zhuhai-Macao Bridge Control Point,港珠澳大橋出入境管制站,港珠澳大桥,direct,true,68898,30427,38471,43100,18636,7162,113.95108400,22.31810200,813004.6693856301,819917.6416179501,"Hong Kong-Zhuhai-Macao Bridge Hong Kong Port, Lantau",大嶼山港珠澳大橋香港口岸,24 hours,全日24小時,2023-01-09 09:35:05,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Lo Wu Control Point,羅湖出入境管制站,罗湖,direct,true,169177,81423,87754,136273,31114,1790,114.11366400,22.52947700,829765.29357864,843308.47372863,MTR Lo Wu Station,港鐵羅湖站,6:30 am to midnight,上午6時30分至午夜12時,2023-02-06 11:41:33,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Lok Ma Chau Control Point,落馬洲出入境管制站,落马洲,direct,true,33816,17200,16616,23633,9013,1170,114.07406100,22.50936900,825689.56880712,841084.04253575,Lok Ma Chau Terminal,落馬洲管制站,24 hours,全日24小時,2023-02-06 11:42:22,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Lok Ma Chau Spur Line Control Point,落馬洲支線出入境管制站,落马洲支线,direct,true,137567,66725,70842,100833,35673,1061,114.06560700,22.51493400,824820.2468713101,841700.92910709,MTR Lok Ma Chau Station,港鐵落馬洲站,6:30 am to 10:30 pm,上午6時30分至晚上10時30分,2023-01-09 09:37:15,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Heung Yuen Wai Control Point,香園圍管制站,香园围,direct,true,68120,34523,33597,54193,13374,553,114.15380900,22.55229600,833895.52627137,845834.2452074999,"Heung Yuen Wai Control Point, New Territories",新界香園圍管制站,7:00 am to 10:00 pm,上午7時至晚上10時,2023-02-06 14:25:40,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
16-07-2026,immd_rcd_1633320081376_19895,CP,Express Rail Link West Kowloon Control Point,高鐵西九龍出入境管制站,高铁西九龙,direct,true,85368,41215,44153,38573,42777,4018,114.16474300,22.30467600,835018,818413.6,"Hong Kong West Kowloon Station,3 Austin Road West,Tsim Sha Tsui, Kowloon",九龍 尖沙咀 柯士甸道西三號 香港西九龍站,6:30 am to 11:30 pm,上午6時30分至晚上11時30分,2023-01-16 10:10:12,https://portal.csdi.gov.hk/csdi-webpage/file-api?dataset_id=immd_rcd_1633320081376_19895&format=geojson&layer_name=CP,https://www.immd.gov.hk/opendata/hks/transport/immigration_clearance/statistics_on_daily_passenger_traffic.csv,Direct one-to-one match to the daily traffic statistical category.
