poi_id,name,duplicate_count,source_tile_ids
BV09022446,城门龙江(公交站),2,L0_009_000;L0_010_000
BV09022450,螺洲古镇地铁站(公交站),2,L0_008_001;L0_009_001
BV09023163,闽运汽车北站2站台(公交站),2,L0_007_005;L0_007_006
BV09025199,横屿路板桥路口(公交站),2,L0_008_005;L0_009_005
BV09033812,庙弄(公交站),2,L0_000_006;L0_001_006
BV09033813,榕东卫生所(公交站),2,L0_000_006;L0_001_006
BV09045881,清华附中福州学校(公交站),2,L0_009_002;L0_010_002
BV09053581,春风路(公交站),2,L0_001_005;L0_001_006
BV09055732,秀山地铁站B口(公交站),2,L0_007_006;L0_007_007
BV09059673,盘屿地铁站A口(公交站),2,L0_006_001;L0_007_001
BV09073273,葆桢路南(公交站),2,L0_010_002;L0_011_002
BV09078849,鼓楼工业园(公交站),2,L0_005_002;L0_006_002
BV09089781,马尾区图书馆(公交站),3,L0_012_001;L0_013_000;L0_013_001
BV09091861,埔顶(汇达广场)站(公交站),2,L0_007_003;L0_008_003
BV09094701,泉头路西(北侧)(公交站),2,L0_008_006;L0_008_007
BV09094702,泉头路西(南侧)(公交站),2,L0_008_006;L0_008_007
BV09096384,北园路南台路口(公交站),2,L0_007_002;L0_008_002
BV09106156,海军医院(马尾快线停车场)(公交站),3,L0_012_000;L0_012_001;L0_013_001
BV09110016,雁头路东(公交站),3,L0_008_003;L0_009_002;L0_009_003
BV09118748,盛天现代城(前屿村)(公交站),2,L0_008_004;L0_009_004
BV09121213,下洋地铁站(公交站),2,L0_011_000;L0_011_001
BV09144640,行政服务中心(县税务局)(公交站),2,L0_001_006;L0_001_007
BV09151261,清华附中福州学校西门(公交站),2,L0_009_002;L0_010_002
BV09155595,空港快线金山正祥站(公交站),2,L0_005_002;L0_006_002
BV09162124,县医院(公交站),2,L0_001_007;L0_002_007
BV09169917,上雁(公交站),2,L0_005_002;L0_005_003
BV09170440,福建理工大学鼓山校区(公交站),2,L0_009_004;L0_009_005
BV09180757,三坊七巷(双抛桥)(公交站),2,L0_006_004;L0_006_005
BV09183316,益凤李厝(公交站),2,L0_005_006;L0_006_006
BV09184613,福州英华职业学院(公交站),2,L0_002_006;L0_002_007
BV09185305,三角池地铁站(公交站),2,L0_007_005;L0_008_005
BV09188574,湖里路口(江滨东大道辅道)(公交站),2,L0_011_001;L0_011_002
BV09192986,仓山区实验中学金山分校(公交站),2,L0_005_002;L0_005_003
BV09199313,城锦公交车场站(公交站),2,L0_009_000;L0_009_001
BV09201999,新颐路金洲南路口(公交站),2,L0_005_003;L0_006_003
BV09202000,东林支巷(公交站),2,L0_005_003;L0_006_003
BV09212358,高湖(公交站),2,L0_008_002;L0_008_003
BV09219351,仓山区实验中学(公交站),2,L0_005_002;L0_005_003
BV09222164,前屿地铁站(公交站),2,L0_008_004;L0_009_004
BV09242391,六桥路西(公交站),2,L0_002_005;L0_003_005
BV09245394,佳馨苑(公交站),2,L0_008_004;L0_008_005
BV09250171,招呼站(公交站),2,L0_008_005;L0_009_005
BV09255404,临时站(公交站),2,L0_004_003;L0_005_003
BV09268323,滨江实小分校(公交站),3,L0_001_006;L0_001_007;L0_002_006
BV09274187,金港湾实验学校北门(公交站),2,L0_006_002;L0_006_003
BV09282612,闽侯县医院西门(公交站),2,L0_001_007;L0_002_007
BV09299468,彭岐(公交站),2,L0_010_001;L0_010_002
BV09310136,彭岐(公交站),2,L0_010_001;L0_010_002
BV09323944,晋安榕博小学(东区)(公交站),2,L0_008_005;L0_009_005
BV09326648,乌山北门(临时站)(公交站),2,L0_006_004;L0_007_004
BV09328132,市第八医院(招呼站)(公交站),2,L0_007_005;L0_008_005
BV09334654,精品梅园国际(公交站),2,L0_009_003;L0_009_004
BV09344777,苏宁广场(公交站),2,L0_006_003;L0_006_004
BV09354476,招手即停(燕前路)(公交站),2,L0_005_001;L0_005_002
BV09357177,亚峰社区(公交站),2,L0_008_003;L0_008_004
BV09365533,三叉街地铁站B口(公交站),2,L0_008_002;L0_008_003
BV09365534,南台东升(公交站),2,L0_007_002;L0_008_002
BV09374369,湖胶(公交站),2,L0_006_002;L0_007_002
BV09374455,螺洲温泉地铁站C口(公交站),2,L0_008_001;L0_009_001
BV09375156,长汀街外街(招手即停站)(公交站),2,L0_006_003;L0_006_004
BV09376930,船坞边路(公交站),4,L0_012_000;L0_012_001;L0_013_000;L0_013_001
BV09376931,和平小学(公交站),2,L0_012_001;L0_012_002
BV09398290,闽侯职专(公交站),2,L0_002_006;L0_002_007
BV09406051,临时站(公交站),2,L0_001_007;L0_002_007
BV09414436,福州科技职业技术学院站(公交站),2,L0_002_005;L0_003_005
BV09420116,市一总医院老年院区(公交站),2,L0_007_005;L0_008_005
BV09423241,江十路(公交站),2,L0_007_003;L0_008_003
BV09433923,茶香路西(公交站),2,L0_008_004;L0_008_005
BV09441819,官前路东(公交站),2,L0_008_004;L0_009_004
BV09441820,鼓山中心小学(公交站),2,L0_008_004;L0_009_004
BV09441821,崇贤路东(公交站),2,L0_008_004;L0_009_004
BV09442959,福建理工大学鼓山校区(北行)(公交站),2,L0_009_004;L0_009_005
BV09458220,郭前山北(公交站),2,L0_007_006;L0_008_006
BV09459273,马尾三鑫财富中心(公交站),2,L0_012_001;L0_013_001
BV09465384,光桥(九龙寺)(公交站),2,L0_008_001;L0_008_002
BV09465453,招手即停(螺洲停车场)(公交站),2,L0_008_000;L0_009_000
BV09470337,招手即停(群星路)(公交站),2,L0_004_003;L0_005_003
BV09473882,金山工业区钟楼(公交站),2,L0_004_003;L0_005_003
BV09473898,群星路(招呼站)(公交站),2,L0_004_003;L0_005_003
BV09474469,中天.金海岸(公交站),2,L0_005_002;L0_005_003
BV09474908,盛天-现代城(前屿村)(公交站),2,L0_008_004;L0_009_004
BV09477851,招手即停·东水路北(公交站),2,L0_007_004;L0_007_005
BV09480498,汤斜物流园(公交站),2,L0_007_007;L0_008_007
BV09481209,华威花花世界(公交站),2,L0_005_001;L0_006_001
BV09482294,螺洲古镇(公交站),2,L0_008_000;L0_009_000
BV09513943,梦斗巷口(公交站),2,L0_006_005;L0_006_006
BV09534709,五四北悦溪廷酒店(公交站),2,L0_007_007;L0_008_007
BV10208391,东街口(公交站),2,L0_007_004;L0_007_005
BV10208397,省人民医院(公交站),2,L0_007_003;L0_007_004
BV10208401,桥南(公交站),2,L0_007_003;L0_008_003
BV10208413,蒙古营(公交站),2,L0_007_004;L0_007_005
BV10208419,福三中(公交站),2,L0_006_005;L0_007_005
BV10208437,朝阳路口(公交站),2,L0_007_003;L0_008_003
BV10208441,东部办公区(公交站),2,L0_008_003;L0_009_003
BV10208453,黄山(公交站),3,L0_008_001;L0_009_001;L0_009_002
BV10208462,高湖村(公交站),2,L0_008_002;L0_008_003
BV10208469,种福寺(公交站),2,L0_008_002;L0_008_003
BV10208472,上三路口(公交站),4,L0_007_002;L0_007_003;L0_008_002;L0_008_003
BV10208475,西洪路(公交站),2,L0_006_004;L0_006_005
BV10208480,浦东(公交站),4,L0_006_003;L0_006_004;L0_007_003;L0_007_004
BV10208505,电建二公司(公交站),2,L0_007_005;L0_007_006
BV10208510,天骏小区(公交站),2,L0_005_004;L0_006_004
BV10208513,三坊七巷(公交站),3,L0_006_005;L0_007_004;L0_007_005
BV10208536,前屿(公交站),2,L0_008_004;L0_009_004
BV10208540,紫阳(公交站),2,L0_007_004;L0_008_004
BV10208557,软件园公交总站(公交站),3,L0_005_005;L0_005_006;L0_006_005
BV10208565,屏山(公交站),2,L0_006_005;L0_007_005
BV10208569,象园头(公交站),2,L0_007_004;L0_008_004
BV10208576,仙塔街(公交站),2,L0_007_004;L0_007_005
BV10208581,魁炉头(公交站),2,L0_006_006;L0_007_006
BV10208582,龙腰(公交站),2,L0_006_005;L0_007_005
BV10208589,省彩印厂(公交站),2,L0_007_004;L0_008_004
BV10208600,招贤路(公交站),2,L0_008_004;L0_009_004
BV10208601,前屿东路(公交站),2,L0_008_004;L0_009_004
BV10208605,连洋路(公交站),2,L0_008_004;L0_009_004
BV10208614,长冠城(公交站),2,L0_006_005;L0_007_005
BV10208618,鱼池(公交站),2,L0_008_003;L0_009_003
BV10208631,世欧澜山(公交站),2,L0_007_005;L0_008_005
BV10208640,长寿社(公交站),2,L0_006_003;L0_007_003
BV10208644,市人才储备中心(公交站),2,L0_005_003;L0_006_003
BV10208645,榕城广场(公交站),2,L0_005_003;L0_006_003
BV10208672,十锦祠(公交站),2,L0_007_003;L0_008_003
BV10208699,福建生态工程学校(公交站),3,L0_006_002;L0_006_003;L0_007_002
BV10208700,联建村(公交站),2,L0_006_002;L0_006_003
BV10208705,福湾财茂服装城(公交站),4,L0_006_001;L0_006_002;L0_007_001;L0_007_002
BV10208708,盘屿中学(公交站),2,L0_006_001;L0_007_001
BV10208709,齐安路(公交站),2,L0_006_001;L0_007_001
BV10208718,农林大学(公交站),2,L0_005_004;L0_005_005
BV10208739,后屿路口(公交站),2,L0_008_004;L0_009_004
BV10208763,胪雷亭(公交站),2,L0_009_000;L0_010_000
BV10208779,原厝(公交站),2,L0_005_004;L0_005_005
BV10208781,厚屿(公交站),2,L0_004_005;L0_004_006
BV10208785,汽修厂(公交站),2,L0_002_006;L0_003_006
BV10208786,关口(公交站),2,L0_002_006;L0_002_007
BV10208795,淮安大桥(公交站),2,L0_004_005;L0_005_005
BV10208819,六江(公交站),2,L0_012_001;L0_012_002
BV10208844,留学人员创业园(公交站),2,L0_011_001;L0_012_001
BV10208850,君竹环岛(公交站),2,L0_012_001;L0_013_001
BV10208855,人民埕(公交站),2,L0_008_003;L0_009_003
BV10208888,农林大学南门(公交站),2,L0_004_004;L0_005_004
BV10208917,居住主题公园(公交站),2,L0_008_006;L0_008_007
BV10208926,化工路(公交站),2,L0_008_005;L0_009_005
BV10208956,浦上大道(公交站),2,L0_005_002;L0_006_002
BV10208960,浦上工业区(公交站),2,L0_005_002;L0_006_002
BV10208963,仓山万达广场(公交站),2,L0_006_002;L0_006_003
BV10208976,保福(公交站),2,L0_005_005;L0_006_005
BV10208983,新儿童公园(公交站),2,L0_006_007;L0_007_007
BV10209009,光荣路(公交站),2,L0_006_004;L0_006_005
BV10209010,湖头街(公交站),2,L0_006_004;L0_006_005
BV10209024,南平西路(公交站),2,L0_006_006;L0_007_006
BV10209032,上海新村(公交站),2,L0_006_004;L0_007_004
BV10209045,省康复中心(公交站),2,L0_004_004;L0_005_004
BV10209046,洪光村(公交站),3,L0_004_003;L0_004_004;L0_005_003
BV10209054,中央公园(公交站),2,L0_007_007;L0_008_007
BV10209074,金城工业区(公交站),2,L0_006_006;L0_006_007
BV10209111,港口路(公交站),2,L0_012_000;L0_012_001
BV10209112,罗星塔(公交站),3,L0_012_000;L0_013_000;L0_013_001
BV10209113,海军医院(公交站),2,L0_012_001;L0_013_001
BV10209147,福州十八中(公交站),2,L0_006_004;L0_006_005
BV10209152,文儒坊(公交站),2,L0_006_004;L0_007_004
BV10209170,江厝路口(公交站),2,L0_006_006;L0_007_006
BV10209173,省住建厅(公交站),2,L0_006_005;L0_007_005
BV10209189,农大社区(公交站),2,L0_005_004;L0_005_005
BV10209231,光桥(公交站),2,L0_008_001;L0_008_002
BV10209235,宁化新村(公交站),2,L0_006_003;L0_007_003
BV10209339,软件园A区双创新城(公交站),2,L0_005_006;L0_006_006
BV10209352,齐安公交总站(公交站),2,L0_007_001;L0_007_002
BV10209369,西园小学(公交站),2,L0_007_006;L0_008_006
BV10209370,西园路口(公交站),2,L0_007_006;L0_008_006
BV10209410,金桔路(公交站),2,L0_004_003;L0_005_003
BV10209411,金桔金祥路口(公交站),2,L0_004_003;L0_005_003
BV10209438,桔园一路(公交站),2,L0_004_003;L0_005_003
BV10209442,龙舟河(公交站),2,L0_009_002;L0_009_003
BV10209495,金洲浦上路口(公交站),2,L0_006_002;L0_006_003
BV10209599,远东丽景(公交站),2,L0_009_003;L0_009_004
BV10209891,三环西园路口(公交站),2,L0_007_006;L0_008_006
BV10210364,闽侯一中(公交站),2,L0_001_007;L0_002_007
BV10210481,勃莱特园区(公交站),2,L0_001_005;L0_002_005
BV10210681,鳌山村口(公交站),2,L0_008_001;L0_009_001
BV10210682,下洲村口(公交站),2,L0_007_001;L0_008_001
BV10210749,龙岭(公交站),2,L0_002_008;L0_003_008
BV10210763,科技一路(公交站),2,L0_004_002;L0_004_003
BV10330912,沿山市场(公交站),2,L0_012_001;L0_013_001
BV10338672,跑马场(公交站),2,L0_007_002;L0_007_003
BV10391469,龙祥岛(公交站),2,L0_008_000;L0_009_000
BV10391511,育达学校(公交站),2,L0_006_001;L0_007_001
BV10391605,中天·金海岸(公交站),2,L0_005_002;L0_005_003
BV10391612,高旺路口(公交站),2,L0_008_002;L0_009_002
BV10410394,福建生态工程学校(洋洽)(公交站),3,L0_006_002;L0_006_003;L0_007_002
BV10411576,农大沙滩公园(公交站),2,L0_004_004;L0_004_005
BV10418855,国艺花鸟市场(公交站),2,L0_006_001;L0_007_001
BV10419510,建新杨周路口(公交站),2,L0_005_002;L0_006_002
BV10459665,吴山峬山寺(公交站),2,L0_007_000;L0_007_001
BV10485375,彼岸城C区(公交站),2,L0_005_003;L0_006_003
BV10551239,福州市政府(公交站),2,L0_006_004;L0_007_004
BV10555297,山道(公交站),2,L0_006_001;L0_007_001
BV10561554,盛天·现代城(前屿村)(公交站),2,L0_008_004;L0_009_004
BV10565076,浦里(公交站),4,L0_004_005;L0_004_006;L0_005_005;L0_005_006
BV10568928,濂水路口(公交站),2,L0_009_002;L0_009_003
BV10571397,源脉温泉(公交站),2,L0_006_005;L0_007_005
BV10593960,凤冈路口(公交站),2,L0_005_003;L0_006_003
BV10618841,东岭盘屿路口(公交站),2,L0_006_001;L0_006_002
BV10621314,三环福飞路口(西)(公交站),2,L0_006_006;L0_007_006
BV10652793,锦江园(公交站),2,L0_005_004;L0_006_004
BV10689875,泛船浦教堂(公交站),2,L0_007_003;L0_008_003
BV10723557,坂中秀峰路口(公交站),2,L0_007_007;L0_008_007
BV10740056,西海岸(公交站),2,L0_001_006;L0_002_006
BV10740058,凤翔湖滨世纪(公交站),2,L0_003_006;L0_004_006
BV10740059,关口小学(公交站),2,L0_002_006;L0_003_006
BV10754681,滨海星商务中心(公交站),2,L0_010_002;L0_011_002
BV10764306,望龙台(公交站),2,L0_006_003;L0_006_004
BV10786733,上塘(公交站),2,L0_005_003;L0_005_004
BV10795982,南台十六府(公交站),2,L0_007_002;L0_008_002
BV10826231,福州金山中学(公交站),2,L0_005_003;L0_006_003
BV10837795,玄南西园路口(公交站),2,L0_007_006;L0_008_006
BV10855812,汇多利(公交站),2,L0_007_003;L0_007_004
BV10885526,山北井店(公交站),2,L0_008_006;L0_008_007
BV10889673,利嘉汽配城(公交站),2,L0_006_001;L0_007_001
BV10898305,秀山村(公交站),2,L0_007_007;L0_008_007
BV10898306,地铁秀山站(公交站),2,L0_007_006;L0_007_007
BV10901468,白马河站(公交站),2,L0_006_004;L0_007_004
BV10902716,埔顶(公交站),2,L0_007_003;L0_008_003
BV10927911,洋中秋龙路口(公交站),2,L0_007_003;L0_007_004
BV10929988,儒江西路葆桢路口(公交站),2,L0_010_002;L0_011_002
BV10932469,沁河沁园路口(公交站),4,L0_007_005;L0_007_006;L0_008_005;L0_008_006
BV10953957,潘墩福峡路口(公交站),2,L0_008_002;L0_009_002
BV10965141,龙津站(公交站),2,L0_007_003;L0_008_003
BV10986688,世欧王庄(公交站),2,L0_007_004;L0_008_004
BV10991540,鹤林路东(公交站),2,L0_008_005;L0_009_005
BV10997598,建星路(公交站),2,L0_012_001;L0_013_001
BV11003896,仁山路利嘉国际商业城(公交站),2,L0_006_001;L0_007_001
BV11024506,大佳社区(公交站),2,L0_003_006;L0_003_007
BV11052689,闽侯行政服务中心北门(公交站),2,L0_001_006;L0_001_007
BV11058085,帮洲长寿路口(公交站),2,L0_006_003;L0_007_003
BV11058845,橘园洲仓山园(公交站),2,L0_004_003;L0_005_003
BV11062271,解放溪(公交站),3,L0_007_006;L0_008_006;L0_008_007
BV11078243,闽都民俗园(公交站),2,L0_001_006;L0_001_007
BV11079541,绍岐(公交站),2,L0_009_002;L0_010_002
BV11156694,阳厦(公交站),2,L0_009_001;L0_009_002
BV11158212,墩园洲安置房(公交站),2,L0_000_007;L0_001_007
BV11169406,中天金海岸(公交站),2,L0_005_002;L0_005_003
BV11172261,空港快线光明港梅园酒店站(公交站),2,L0_008_004;L0_009_004
BV11174063,地铁苏洋站(公交站),2,L0_001_005;L0_002_005
BV11180529,三坊七巷(营房里)(公交站),2,L0_006_004;L0_007_004
BV11185184,地铁西洋站(公交站),2,L0_006_004;L0_007_004
BV11202318,晋安第三中心小学(公交站),2,L0_008_005;L0_008_006
BV11232728,桔园洲港湾站(公交站),2,L0_004_003;L0_005_003
BV11244525,井店湖公园(公交站),2,L0_008_006;L0_008_007
BV11262035,半道农贸市场(公交站),2,L0_006_002;L0_006_003
BV11270152,登龙路(公交站),2,L0_012_001;L0_013_001
BV11280553,福道5号口(公交站),2,L0_005_004;L0_005_005
BV11300580,福兴湖塘(公交站),2,L0_009_004;L0_009_005
BV11317013,淮安上下店路口(公交站),2,L0_004_005;L0_005_005
BV11339241,永南路西(公交站),2,L0_009_001;L0_010_001
BV11350546,鳌光亚兴路口(公交站),2,L0_008_003;L0_009_003
BV11353348,光明港公园(公交站),3,L0_007_003;L0_007_004;L0_008_004
BV11356537,凤湖路西(公交站),2,L0_005_004;L0_006_004
BV11361001,院后(公交站),2,L0_006_003;L0_006_004
BV11371074,中天社区(公交站),2,L0_005_002;L0_005_003
BV11371589,长汀里(公交站),2,L0_006_003;L0_006_004
BV11371590,九案泰山府(公交站),2,L0_007_003;L0_007_004
BV11380062,水上公园北门(公交站),2,L0_008_004;L0_009_004
BV11381499,竹榄(公交站),2,L0_006_002;L0_007_002
BV11387464,东岭三环路口(公交站),2,L0_005_001;L0_006_001
BV11392626,葛屿新苑(公交站),2,L0_005_002;L0_005_003
BV11394185,福能总医院(公交站),2,L0_006_004;L0_006_005
BV11397890,雷凯洛(公交站),2,L0_001_007;L0_002_007
BV11399081,凤池村(公交站),2,L0_005_006;L0_006_006
BV11417584,胪雷地铁口(公交站),2,L0_010_000;L0_010_001
BV11426239,劳动者公园(公交站),2,L0_005_002;L0_006_002
BV11430036,鑫峰服装公司(公交站),2,L0_002_007;L0_003_007
BV11445177,茶园(公交站),2,L0_007_005;L0_007_006
BV11451261,闽运汽车北站(1站台)(公交站),2,L0_007_005;L0_007_006
BV11457207,金山正祥(公交站),2,L0_005_002;L0_006_002
BV11487179,市军休中心(公交站),2,L0_005_003;L0_005_004
BV11493474,行政服务中心(公交站),2,L0_001_006;L0_001_007
BV11493475,荔园(公交站),2,L0_002_005;L0_002_006
BV11494064,仓山镇站(公交站),2,L0_007_002;L0_007_003
BV11499625,闽侯行政服务中心北门(公交站),2,L0_001_006;L0_001_007
BV11517824,台江体育公园(公交站),2,L0_008_003;L0_008_004
BV11527935,海王福药(公交站),2,L0_009_002;L0_010_002
BV11536674,横江路东(公交站),2,L0_006_003;L0_007_003
BV11536677,东部办公区(南社二路)(公交站),2,L0_008_003;L0_009_003
BV11563139,秀宅路(公交站),2,L0_008_002;L0_009_002
BV11566932,浦西社区(公交站),2,L0_006_003;L0_007_003
BV11572071,德榜路新兴路口(公交站),2,L0_006_003;L0_007_003
BV11582595,福州汽车北站(公交站),2,L0_007_005;L0_007_006
BV11595259,坂中路西(公交站),2,L0_007_006;L0_007_007
BV11632172,亚峰新区(公交站),2,L0_008_003;L0_009_003
BV11641733,天石源(公交站),2,L0_001_007;L0_002_007
BV11641736,西海岸B区(公交站),2,L0_001_006;L0_002_006
BV11641754,闽侯行政服务中心(北门)(公交站),2,L0_001_006;L0_001_007
BV11666881,前横路红光路口(公交站),2,L0_008_004;L0_009_004
BV11671698,闽都民俗园(南门)(公交站),2,L0_001_006;L0_001_007
BV11678923,凤岗里地铁站(公交站),2,L0_005_003;L0_006_003
BV11678927,东岭地铁站(公交站),2,L0_006_001;L0_006_002
BV11684639,闽侯大桥南桥头(公交站),2,L0_000_006;L0_000_007
BV11686518,凤冈路谢宅路口(公交站),2,L0_005_002;L0_005_003
