occurrence_id,line_id,line_name,direction_start,direction_end,sequence,station_id,amap_stop_id,station_name,lon,lat
350100020613_001_16dd62d3,350100020613,地铁1号线(三江口--象峰),三江口,象峰,1,BV11473936,BV11473936,三江口,119.426122,25.978861
350100020613_002_0452c958,350100020613,地铁1号线(三江口--象峰),三江口,象峰,2,BV10687392,BV10687392,下洋,119.420776,25.984204
350100020613_003_15e94606,350100020613,地铁1号线(三江口--象峰),三江口,象峰,3,BV10687393,BV10687393,梁厝,119.415109,25.994261
350100020613_004_3229d4ec,350100020613,地铁1号线(三江口--象峰),三江口,象峰,4,BV11473935,BV11473935,安平,119.402224,25.992335
350100020613_005_661d67a9,350100020613,地铁1号线(三江口--象峰),三江口,象峰,5,BV10603792,BV10603792,福州火车南站,119.391878,25.986372
350100020613_006_163b5d8b,350100020613,地铁1号线(三江口--象峰),三江口,象峰,6,BV10210905,BV10210905,胪雷,119.380086,25.984504
350100020613_007_1273a2e4,350100020613,地铁1号线(三江口--象峰),三江口,象峰,7,BV10208689,BV10208689,三角埕,119.368306,25.990796
350100020613_008_b9adb293,350100020613,地铁1号线(三江口--象峰),三江口,象峰,8,BV10208691,BV10208691,城门,119.36022,25.996158
350100020613_009_feb21562,350100020613,地铁1号线(三江口--象峰),三江口,象峰,9,BV10208471,BV10208471,排下,119.354008,26.001603
350100020613_010_58db90d7,350100020613,地铁1号线(三江口--象峰),三江口,象峰,10,BV10208454,BV10208454,黄山,119.348788,26.010176
350100020613_011_17a844bf,350100020613,地铁1号线(三江口--象峰),三江口,象峰,11,BV10208456,BV10208456,葫芦阵,119.343548,26.017116
350100020613_012_c71414f1,350100020613,地铁1号线(三江口--象峰),三江口,象峰,12,BV10208407,BV10208407,白湖亭,119.335262,26.025916
350100020613_013_1804a7ca,350100020613,地铁1号线(三江口--象峰),三江口,象峰,13,BV10210904,BV10210904,三叉街,119.326693,26.034785
350100020613_014_9937d803,350100020613,地铁1号线(三江口--象峰),三江口,象峰,14,BV10687405,BV10687405,上藤,119.320579,26.043708
350100020613_015_f2c1144e,350100020613,地铁1号线(三江口--象峰),三江口,象峰,15,BV10687404,BV10687404,达道,119.309855,26.056982
350100020613_016_f8b5ecc2,350100020613,地铁1号线(三江口--象峰),三江口,象峰,16,BV10687399,BV10687399,茶亭,119.304376,26.069167
350100020613_017_ae3c0151,350100020613,地铁1号线(三江口--象峰),三江口,象峰,17,BV10210902,BV10210902,南门兜,119.301619,26.077774
350100020613_018_f654cbb6,350100020613,地铁1号线(三江口--象峰),三江口,象峰,18,BV10687403,BV10687403,东街口,119.299259,26.08596
350100020613_019_a6a50a31,350100020613,地铁1号线(三江口--象峰),三江口,象峰,19,BV10687400,BV10687400,屏山,119.297038,26.096256
350100020613_020_dffd5e6e,350100020613,地铁1号线(三江口--象峰),三江口,象峰,20,BV10687402,BV10687402,树兜,119.305985,26.102208
350100020613_021_0d912d6d,350100020613,地铁1号线(三江口--象峰),三江口,象峰,21,BV10687401,BV10687401,斗门,119.313723,26.103973
350100020613_022_c9eabb90,350100020613,地铁1号线(三江口--象峰),三江口,象峰,22,BV10687408,BV10687408,福州火车站,119.318133,26.112978
350100020613_023_bac5df12,350100020613,地铁1号线(三江口--象峰),三江口,象峰,23,BV10687407,BV10687407,罗汉山,119.318365,26.126091
350100020613_024_4a173dbf,350100020613,地铁1号线(三江口--象峰),三江口,象峰,24,BV10687406,BV10687406,秀山,119.321016,26.133785
350100020613_025_9d0a99df,350100020613,地铁1号线(三江口--象峰),三江口,象峰,25,BV10687409,BV10687409,象峰,119.329639,26.143436
350100020612_001_9d0a99df,350100020612,地铁1号线(象峰--三江口),象峰,三江口,1,BV10687409,BV10687409,象峰,119.329639,26.143436
350100020612_002_4a173dbf,350100020612,地铁1号线(象峰--三江口),象峰,三江口,2,BV10687406,BV10687406,秀山,119.321016,26.133785
350100020612_003_bac5df12,350100020612,地铁1号线(象峰--三江口),象峰,三江口,3,BV10687407,BV10687407,罗汉山,119.318365,26.126091
350100020612_004_c9eabb90,350100020612,地铁1号线(象峰--三江口),象峰,三江口,4,BV10687408,BV10687408,福州火车站,119.318133,26.112978
350100020612_005_0d912d6d,350100020612,地铁1号线(象峰--三江口),象峰,三江口,5,BV10687401,BV10687401,斗门,119.313723,26.103973
350100020612_006_dffd5e6e,350100020612,地铁1号线(象峰--三江口),象峰,三江口,6,BV10687402,BV10687402,树兜,119.305985,26.102208
350100020612_007_a6a50a31,350100020612,地铁1号线(象峰--三江口),象峰,三江口,7,BV10687400,BV10687400,屏山,119.297038,26.096256
350100020612_008_f654cbb6,350100020612,地铁1号线(象峰--三江口),象峰,三江口,8,BV10687403,BV10687403,东街口,119.299259,26.08596
350100020612_009_ae3c0151,350100020612,地铁1号线(象峰--三江口),象峰,三江口,9,BV10210902,BV10210902,南门兜,119.301619,26.077774
350100020612_010_f8b5ecc2,350100020612,地铁1号线(象峰--三江口),象峰,三江口,10,BV10687399,BV10687399,茶亭,119.304376,26.069167
350100020612_011_f2c1144e,350100020612,地铁1号线(象峰--三江口),象峰,三江口,11,BV10687404,BV10687404,达道,119.309855,26.056982
350100020612_012_9937d803,350100020612,地铁1号线(象峰--三江口),象峰,三江口,12,BV10687405,BV10687405,上藤,119.320579,26.043708
350100020612_013_1804a7ca,350100020612,地铁1号线(象峰--三江口),象峰,三江口,13,BV10210904,BV10210904,三叉街,119.326693,26.034785
350100020612_014_c71414f1,350100020612,地铁1号线(象峰--三江口),象峰,三江口,14,BV10208407,BV10208407,白湖亭,119.335262,26.025916
350100020612_015_17a844bf,350100020612,地铁1号线(象峰--三江口),象峰,三江口,15,BV10208456,BV10208456,葫芦阵,119.343548,26.017116
350100020612_016_58db90d7,350100020612,地铁1号线(象峰--三江口),象峰,三江口,16,BV10208454,BV10208454,黄山,119.348788,26.010176
350100020612_017_feb21562,350100020612,地铁1号线(象峰--三江口),象峰,三江口,17,BV10208471,BV10208471,排下,119.354008,26.001603
350100020612_018_b9adb293,350100020612,地铁1号线(象峰--三江口),象峰,三江口,18,BV10208691,BV10208691,城门,119.36022,25.996158
350100020612_019_1273a2e4,350100020612,地铁1号线(象峰--三江口),象峰,三江口,19,BV10208689,BV10208689,三角埕,119.368306,25.990796
350100020612_020_163b5d8b,350100020612,地铁1号线(象峰--三江口),象峰,三江口,20,BV10210905,BV10210905,胪雷,119.380086,25.984504
350100020612_021_661d67a9,350100020612,地铁1号线(象峰--三江口),象峰,三江口,21,BV10603792,BV10603792,福州火车南站,119.391878,25.986372
350100020612_022_3229d4ec,350100020612,地铁1号线(象峰--三江口),象峰,三江口,22,BV11473935,BV11473935,安平,119.402224,25.992335
350100020612_023_15e94606,350100020612,地铁1号线(象峰--三江口),象峰,三江口,23,BV10687393,BV10687393,梁厝,119.415109,25.994261
350100020612_024_0452c958,350100020612,地铁1号线(象峰--三江口),象峰,三江口,24,BV10687392,BV10687392,下洋,119.420776,25.984204
350100020612_025_16dd62d3,350100020612,地铁1号线(象峰--三江口),象峰,三江口,25,BV11473936,BV11473936,三江口,119.426122,25.978861
350100020746_001_2762ac7d,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,1,BV10744868,BV10744868,洋里,119.372233,26.045254
350100020746_002_df757507,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,2,BV10210924,BV10210924,鼓山,119.375054,26.053312
350100020746_003_75b3df53,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,3,BV10208603,BV10208603,上洋,119.363035,26.066498
350100020746_004_d296f84f,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,4,BV10208537,BV10208537,前屿,119.350588,26.07256
350100020746_005_1a9beab1,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,5,BV10210923,BV10210923,五里亭,119.340276,26.074265
350100020746_006_3f914008,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,6,BV10604608,BV10604608,紫阳,119.327173,26.076378
350100020746_007_00acb2eb,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,7,BV10210922,BV10210922,水部,119.314169,26.076428
350100020746_008_47e9d24b,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,8,BV10210902,BV10210902,南门兜,119.303745,26.076251
350100020746_009_1be52ed0,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,9,BV10210921,BV10210921,西洋,119.296889,26.071661
350100020746_010_c0d479be,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,10,BV10210920,BV10210920,宁化,119.293343,26.06265
350100020746_011_ddc38c30,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,11,BV10210919,BV10210919,祥坂,119.286022,26.060749
350100020746_012_bdcd334f,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,12,BV10210918,BV10210918,金祥,119.271125,26.048518
350100020746_013_8d806ffb,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,13,BV10210917,BV10210917,金山,119.262331,26.047449
350100020746_014_a20eb391,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,14,BV10210916,BV10210916,洪湾,119.250071,26.047386
350100020746_015_7a52aaae,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,15,BV10210915,BV10210915,桔园洲,119.242783,26.046869
350100020746_016_4a50937b,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,16,BV10210914,BV10210914,厚庭,119.214929,26.04133
350100020746_017_a14d1226,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,17,BV10210913,BV10210913,董屿·福建师大,119.207305,26.041328
350100020746_018_ccb3d372,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,18,BV10604609,BV10604609,福州大学,119.20348,26.058382
350100020746_019_1e5f7900,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,19,BV10604610,BV10604610,金屿,119.199991,26.067353
350100020746_020_032726fc,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,20,BV10208880,BV10208880,上街,119.187292,26.075713
350100020746_021_443b4023,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,21,BV10208894,BV10208894,沙堤,119.173983,26.085788
350100020746_022_0b82d3da,350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,22,BV10210910,BV10210910,苏洋,119.15963,26.098509
350100020745_001_0b82d3da,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,1,BV10210910,BV10210910,苏洋,119.15963,26.098509
350100020745_002_443b4023,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,2,BV10208894,BV10208894,沙堤,119.173983,26.085788
350100020745_003_032726fc,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,3,BV10208880,BV10208880,上街,119.187292,26.075713
350100020745_004_1e5f7900,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,4,BV10604610,BV10604610,金屿,119.199991,26.067353
350100020745_005_ccb3d372,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,5,BV10604609,BV10604609,福州大学,119.20348,26.058382
350100020745_006_a14d1226,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,6,BV10210913,BV10210913,董屿·福建师大,119.207305,26.041328
350100020745_007_4a50937b,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,7,BV10210914,BV10210914,厚庭,119.214929,26.04133
350100020745_008_7a52aaae,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,8,BV10210915,BV10210915,桔园洲,119.242783,26.046869
350100020745_009_a20eb391,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,9,BV10210916,BV10210916,洪湾,119.250071,26.047386
350100020745_010_8d806ffb,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,10,BV10210917,BV10210917,金山,119.262331,26.047449
350100020745_011_bdcd334f,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,11,BV10210918,BV10210918,金祥,119.271125,26.048518
350100020745_012_ddc38c30,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,12,BV10210919,BV10210919,祥坂,119.286022,26.060749
350100020745_013_c0d479be,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,13,BV10210920,BV10210920,宁化,119.293343,26.06265
350100020745_014_1be52ed0,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,14,BV10210921,BV10210921,西洋,119.296889,26.071661
350100020745_015_47e9d24b,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,15,BV10210902,BV10210902,南门兜,119.303745,26.076251
350100020745_016_00acb2eb,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,16,BV10210922,BV10210922,水部,119.314169,26.076428
350100020745_017_3f914008,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,17,BV10604608,BV10604608,紫阳,119.327173,26.076378
350100020745_018_1a9beab1,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,18,BV10210923,BV10210923,五里亭,119.340276,26.074265
350100020745_019_d296f84f,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,19,BV10208537,BV10208537,前屿,119.350588,26.07256
350100020745_020_75b3df53,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,20,BV10208603,BV10208603,上洋,119.363035,26.066498
350100020745_021_df757507,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,21,BV10210924,BV10210924,鼓山,119.375054,26.053312
350100020745_022_2762ac7d,350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,22,BV10744868,BV10744868,洋里,119.372233,26.045254
900000090237_001_53fadfdf,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,1,BV10972437,BV10972437,半洲,119.237833,26.056572
900000090237_002_51f8c049,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,2,BV10972425,BV10972425,建新,119.237864,26.064362
900000090237_003_14432173,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,3,BV11352892,BV11352892,洪塘,119.248816,26.073328
900000090237_004_138c13d2,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,4,BV10972432,BV10972432,金牛山,119.261723,26.076302
900000090237_005_41bca9a4,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,5,BV10972420,BV10972420,凤凰池,119.27271,26.078389
900000090237_006_3fdbbc59,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,6,BV10972429,BV10972429,陆庄,119.283452,26.082467
900000090237_007_02b70e0f,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,7,BV10972428,BV10972428,西门,119.290055,26.0847
900000090237_008_f654cbb6,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,8,BV10687403,BV10687403,东街口,119.299259,26.08596
900000090237_009_822424c1,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,9,BV10972435,BV10972435,省立医院,119.307142,26.086704
900000090237_010_b7e8a913,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,10,BV11352891,BV11352891,东门,119.315019,26.08759
900000090237_011_7974138a,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,11,BV10972421,BV10972421,三角池,119.326262,26.090976
900000090237_012_7754235e,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,12,BV10972423,BV10972423,竹屿,119.337675,26.09304
900000090237_013_95876114,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,13,BV10972422,BV10972422,横屿,119.352237,26.089831
900000090237_014_962e6daf,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,14,BV10972434,BV10972434,后屿,119.352461,26.081212
900000090237_015_f809d435,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,15,BV10208537,BV10208537,前屿,119.350356,26.071935
900000090237_016_9c23f60e,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,16,BV10972431,BV10972431,光明港,119.346742,26.064404
900000090237_017_c8ebd053,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,17,BV10972424,BV10972424,鳌峰洲,119.344516,26.054747
900000090237_018_3fb5729f,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,18,BV10972430,BV10972430,花海公园,119.350335,26.040098
900000090237_019_813355a5,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,19,BV10972426,BV10972426,会展中心,119.359563,26.029607
900000090237_020_719ed633,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,20,BV10877575,BV10877575,林浦,119.365369,26.015993
900000090237_021_b9adb293,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,21,BV10208691,BV10208691,城门,119.36022,25.996158
900000090237_022_253ac21a,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,22,BV10972427,BV10972427,螺洲温泉,119.349023,25.990339
900000090237_023_b861383e,900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,23,BV11506304,BV11506304,帝封江,119.33544,25.987382
900000090236_001_b861383e,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,1,BV11506304,BV11506304,帝封江,119.33544,25.987382
900000090236_002_253ac21a,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,2,BV10972427,BV10972427,螺洲温泉,119.349023,25.990339
900000090236_003_b9adb293,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,3,BV10208691,BV10208691,城门,119.36022,25.996158
900000090236_004_719ed633,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,4,BV10877575,BV10877575,林浦,119.365369,26.015993
900000090236_005_813355a5,900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,5,BV10972426,BV10972426,会展中心,119.359563,26.029607
